filename	SampleType	Mouse_group	Bacteria	BodyPart	Bacteria_Family	Bacteria_Order	Bacteria_Class	Bacteria_Phyllum
Bacteroides_salanitronis_DSM_18170_CO-2.mzML	Mus musculus	monocolonized	Bacteroides salanitronis DSM 18170	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_salanitronis_DSM_18170_CO-3.mzML	Mus musculus	monocolonized	Bacteroides salanitronis DSM 18170	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_salanitronis_DSM_18170_SI-1.mzML	Mus musculus	monocolonized	Bacteroides salanitronis DSM 18170	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_salanitronis_DSM_18170_SI-2.mzML	Mus musculus	monocolonized	Bacteroides salanitronis DSM 18170	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_salanitronis_DSM_18170_SI-3.mzML	Mus musculus	monocolonized	Bacteroides salanitronis DSM 18170	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_thetatiotaomicron_ATCC29741_CO-1.mzML	Mus musculus	monocolonized	Bacteroides thetatiotaomicron ATCC29741	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_thetatiotaomicron_ATCC29741_CO-2.mzML	Mus musculus	monocolonized	Bacteroides thetatiotaomicron ATCC29741	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_thetatiotaomicron_ATCC29741_CO-3.mzML	Mus musculus	monocolonized	Bacteroides thetatiotaomicron ATCC29741	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_thetatiotaomicron_ATCC29741_SI-1.mzML	Mus musculus	monocolonized	Bacteroides thetatiotaomicron ATCC29741	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_thetatiotaomicron_ATCC29741_SI-2.mzML	Mus musculus	monocolonized	Bacteroides thetatiotaomicron ATCC29741	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
